0,1,2
4.9023237,4.5514297,3.7370934
4.647842,3.7018397,7.663772
6.600628,14.360278,3.8690455
6.130235,4.8515406,6.3811088
1.9169768,4.4998026,-2.5002089
2.949675,4.1499653,3.933822
7.133551,7.5848265,5.6092453
5.398859,10.365244,9.732577
5.2585945,10.469099,9.77772
3.763607,4.8412433,1.906688
7.1827497,6.9858656,5.8515177
4.3803096,3.668942,3.4744797
7.0248556,8.256433,4.655864
5.6614866,3.7584407,7.525204
0.8010273,10.18004,-0.103597395
9.186671,3.8675504,5.5474267
8.600423,1.8514934,7.4265656
6.496673,8.537006,3.4790344
6.469583,5.469724,3.4522667
5.8245993,3.7990959,6.816789
4.6987276,5.686448,3.998562
5.489585,4.3000603,3.2849894
5.7993045,3.48201,2.7641163
6.734113,-2.7054658,8.9416275
4.283059,4.8833003,6.075554
5.049655,4.280389,2.2322073
2.913857,4.914386,2.8147047
3.0119548,3.5241432,5.4069386
4.1135607,6.028644,7.293974
4.9655867,5.8019996,1.3474752
5.469197,3.8324988,6.5198164
-4.0545754,-0.7643693,3.9959402
3.861393,2.960293,3.8580658
6.6167955,3.848625,10.339384
6.878625,-1.2002033,9.37242
-1.8190808,6.0473866,-3.3545606
2.7709746,4.2236395,4.831318
5.6996946,4.040678,2.6041625
8.465132,1.8642249,6.6782513
4.4072165,4.9082494,1.6991647
6.286543,9.343815,8.77899
6.0258026,5.307923,7.8070107
5.0240054,10.607459,9.816388
6.787415,8.030256,3.558215
4.705026,5.0151424,4.52019
3.0393412,3.622365,6.326835
5.185307,4.0300717,6.4085827
3.5916314,4.597259,6.072106
2.3995228,4.771476,-2.527651
7.6451683,2.7821982,11.562327
7.6484694,5.341136,1.7799652
2.9113677,4.0016303,7.246401
8.91796,3.9928908,8.631899
3.5763378,6.235719,1.4788378
6.040983,9.845114,8.941692
4.497672,3.177515,5.062206
6.6687617,7.1546454,4.2645097
6.882832,4.576867,4.6668363
4.3282065,6.063567,3.7872913
5.2165728,3.4550436,5.239032
4.528637,5.729481,6.0786905
3.2789972,4.1463,1.7228907
5.515721,5.3404284,7.034683
6.7371073,4.7211394,4.9031534
1.8724574,7.1920733,0.6124236
2.3776283,6.1323757,2.018608
4.8965564,4.379777,2.108856
5.8575797,5.6733837,5.999449
3.5919943,3.7788498,5.245396
3.8680646,6.97828,3.2547405
8.542308,1.8500593,7.42903
6.6296444,4.2528706,4.055818
3.99955,6.2616415,3.4379022
5.0884604,3.4051378,7.407252
9.920493,1.3436996,6.1820374
4.9931517,3.6130574,5.768716
3.6699364,4.4942217,4.5371556
4.2076263,2.9052687,5.5318174
6.441181,4.509539,6.98303
6.361504,4.8181205,7.0787215
7.44673,2.7759552,11.3133745
6.601011,5.6810246,4.1122794
5.9825916,4.8378687,6.247658
-1.5934291,6.402995,-3.2174513
4.910279,6.018517,1.2857198
-4.204168,-1.0431114,3.4064658
6.706023,-2.7798138,9.773721
3.8440537,7.147159,3.1818979
5.8784657,5.1616287,7.1960506
5.9037533,3.6190577,6.3410106
4.194597,3.0747538,3.8351219
4.36838,2.9462836,5.7781606
7.2093897,7.598408,5.6382017
2.5862484,4.6075006,3.0831344
2.618795,7.590478,6.237073
3.0981863,3.8874054,6.580184
2.2547722,4.823647,3.8646698
8.43917,1.8602625,6.735457
3.596504,3.6291459,3.3195431
7.1253448,5.556184,1.7437544
5.530019,3.7096505,7.5359335
5.6391907,-2.6219735,-2.337376
2.0058196,4.4042325,-2.3615134
6.2536316,8.325903,1.9049225
11.359934,10.29725,7.708594
7.3299227,-1.7291191,9.868459
1.6830161,3.4189105,4.9761515
4.451862,5.439963,5.971955
3.100086,3.8940344,4.394646
6.1783,9.442827,8.944381
5.0359116,4.9980946,7.076554
6.5089474,8.90112,3.8303714
6.880008,4.314956,4.7318397
2.599643,3.522368,5.911986
6.7333565,14.567895,3.5272362
9.227983,3.7064528,8.554638
5.6678452,9.414876,8.5122
2.9164615,3.4984004,2.241051
4.6198997,6.5216937,1.1400058
2.7649918,5.1876354,2.0610206
3.9099154,3.3989737,6.1508045
5.8298044,-2.6348996,-2.452546
4.4516764,3.9937706,5.6598163
5.4599075,3.5179093,7.7302117
6.796741,8.01091,3.5877688
4.914273,6.1773295,1.0973432
2.5856485,7.217621,5.969003
3.811227,3.9898977,7.4940524
5.2796016,4.9378877,5.1518517
5.0774107,6.291375,2.0081174
6.056809,4.3422956,7.6845355
4.5096436,6.3014646,6.5633297
2.9152744,6.0539484,2.0312912
5.6631985,5.150121,7.578855
3.2128134,4.2495394,3.7334368
4.9506516,3.7978296,5.9010444
5.4655447,9.815443,9.26238
3.94666,6.6252913,6.135361
-4.2018523,-1.0317043,2.9902463
10.136367,1.1406552,6.028943
8.624258,1.8146687,7.5431633
5.0570292,5.038991,7.248525
3.14378,2.9786127,2.905365
2.2532628,4.71974,-2.555982
3.9230142,4.0258503,4.2626305
5.818878,4.024373,4.4444804
5.2731338,10.4550705,9.766822
3.6438608,5.1607337,6.151938
5.771944,3.7146153,2.75748
6.8173804,4.030598,4.5361595
6.8336716,4.3251476,5.014964
2.9846904,3.1954803,2.4290864
5.98844,3.8051317,3.5999985
5.8922653,5.7866383,7.967057
5.656041,10.142601,9.02203
2.5770018,4.8995275,3.0490074
